"","lat","lon","grid_id","EpiDist","VS30"
"76",31.6,-122.6,76,477.890876632536,600
"112",31.6,-122.4,112,463.157483827164,600
"148",31.6,-122.2,148,448.719766071422,600
"184",31.6,-122,184,434.607246062219,600
"220",31.6,-121.8,220,420.85269316466,600
"256",31.6,-121.6,256,407.49240961993,600
"292",31.6,-121.4,292,394.566498651093,600
"328",31.6,-121.2,328,382.119092123049,600
"364",31.6,-121,364,370.198507339463,600
"400",31.6,-120.8,400,358.857293315388,600
"436",31.6,-120.6,436,348.152117218426,600
"472",31.6,-120.4,472,338.143433115728,600
"508",31.6,-120.2,508,328.894870133161,600
"544",31.6,-120,544,320.472279069582,600
"580",31.6,-119.8,580,312.94238958929,600
"616",31.6,-119.6,616,306.371058384272,600
"652",31.6,-119.4,652,300.821134462987,600
"688",31.6,-119.2,688,296.35002935975,600
"724",31.6,-119,724,293.007149929273,600
"760",31.6,-118.8,760,290.831415176718,600
"796",31.6,-118.6,796,289.84911748117,600
"832",31.6,-118.4,832,290.072384957587,600
"868",31.6,-118.2,868,291.498446683483,600
"904",31.6,-118,904,294.109801999083,600
"940",31.6,-117.8,940,297.875270291518,600
"976",31.6,-117.6,976,302.751778616146,600
"1012",31.6,-117.4,1012,308.686659095486,600
"1048",31.6,-117.2,1048,315.62019221949,600
"1084",31.6,-117,1084,323.488145958754,600
"1120",31.6,-116.8,1120,332.224110989116,600
"1156",31.6,-116.6,1156,341.76150040353,900
"1192",31.6,-116.4,1192,352.035150437186,601
"1228",31.6,-116.2,1228,362.982515030706,673
"1264",31.6,-116,1264,374.54448627659,288
"1300",31.6,-115.8,1300,386.665895038159,337
"1336",31.6,-115.6,1336,399.295754481854,900
"1372",31.6,-115.4,1372,412.387308163125,717
"1408",31.6,-115.2,1408,425.897937621981,412
"1444",31.6,-115,1444,439.788975255607,180
"1480",31.6,-114.8,1480,454.025458607959,600
"1516",31.6,-114.6,1516,468.575853346915,600
"1552",31.6,-114.4,1552,483.411764648666,600
"1588",31.6,-114.2,1588,498.50765062853,242
"1624",31.6,-114,1624,513.840546766023,240
"5",31.8,-123,5,495.443132261094,600
"41",31.8,-122.8,41,479.826953362775,600
"77",31.8,-122.6,77,464.436951774563,600
"113",31.8,-122.4,113,449.296428846195,600
"149",31.8,-122.2,149,434.431527061472,600
"185",31.8,-122,185,419.871577938592,600
"221",31.8,-121.8,221,405.6494752853,600
"257",31.8,-121.6,257,391.80206577342,600
"293",31.8,-121.4,293,378.370542967772,600
"329",31.8,-121.2,329,365.400822906088,600
"365",31.8,-121,365,352.943868700753,600
"401",31.8,-120.8,401,341.055918286846,600
"437",31.8,-120.6,437,329.79855378511,600
"473",31.8,-120.4,473,319.238534371416,600
"509",31.8,-120.2,509,309.44729995456,600
"545",31.8,-120,545,300.500045289235,600
"581",31.8,-119.8,581,292.474270464616,600
"617",31.8,-119.6,617,285.447742439024,600
"653",31.8,-119.4,653,279.495860881814,600
"689",31.8,-119.2,689,274.688512334245,600
"725",31.8,-119,725,271.08661157783,600
"761",31.8,-118.8,761,268.738646023886,600
"797",31.8,-118.6,797,267.67762338983,600
"833",31.8,-118.4,833,267.918837759301,600
"869",31.8,-118.2,869,269.458791074603,600
"905",31.8,-118,905,272.275442251533,600
"941",31.8,-117.8,941,276.329743610705,600
"977",31.8,-117.6,977,281.56822315916,600
"1013",31.8,-117.4,1013,287.926235600924,600
"1049",31.8,-117.2,1049,295.33146237223,600
"1085",31.8,-117,1085,303.707285432312,600
"1121",31.8,-116.8,1121,312.97576050852,600
"1157",31.8,-116.6,1157,323.060035145179,301
"1193",31.8,-116.4,1193,333.886164643054,836
"1229",31.8,-116.2,1229,345.384358102911,562
"1265",31.8,-116,1265,357.489733677774,599
"1301",31.8,-115.8,1301,370.142681582606,362
"1337",31.8,-115.6,1337,383.288933605476,403
"1373",31.8,-115.4,1373,396.879426915856,437
"1409",31.8,-115.2,1409,410.870034182379,402
"1445",31.8,-115,1445,425.221215530365,200
"1481",31.8,-114.8,1481,439.897632969355,600
"1517",31.8,-114.6,1517,454.867755570184,396
"1553",31.8,-114.4,1553,470.103474036261,294
"1589",31.8,-114.2,1589,485.579736143314,295
"1625",31.8,-114,1625,501.274209396193,274
"6",32,-123,6,483.427622405054,600
"42",32,-122.8,42,467.446149786988,600
"78",32,-122.6,78,451.669974900187,600
"114",32,-122.4,114,436.121438089731,600
"150",32,-122.2,150,420.825831955102,600
"186",32,-122,186,405.811816245215,600
"222",32,-121.8,222,391.111879196698,600
"258",32,-121.6,258,376.762841889369,600
"294",32,-121.4,294,362.80639638289,600
"330",32,-121.2,330,349.289659601106,600
"366",32,-121,366,336.265712204883,600
"402",32,-120.8,402,323.794074144164,600
"438",32,-120.6,438,311.941045708892,600
"474",32,-120.4,474,300.779815252482,600
"510",32,-120.2,510,290.390204943881,600
"546",32,-120,546,280.857899895975,600
"582",32,-119.8,582,272.272994421317,600
"618",32,-119.6,618,264.727707411359,600
"654",32,-119.4,654,258.313184742097,600
"690",32,-119.2,690,253.115433576392,600
"726",32,-119,726,249.210619051478,600
"762",32,-118.8,762,246.660167731823,600
"798",32,-118.6,798,245.506302172277,600
"834",32,-118.4,834,245.768697957478,600
"870",32,-118.2,870,247.44284864371,600
"906",32,-118,906,250.500444612497,600
"942",32,-117.8,942,254.891693817557,600
"978",32,-117.6,978,260.549158033722,600
"1014",32,-117.4,1014,267.392458139957,600
"1050",32,-117.2,1050,275.333163986919,600
"1086",32,-117,1086,284.279302165354,600
"1122",32,-116.8,1122,294.139116414893,411
"1158",32,-116.6,1158,304.823924490821,432
"1194",32,-116.4,1194,316.25008105488,554
"1230",32,-116.2,1230,328.340159685054,568
"1266",32,-116,1266,341.023513368339,574
"1302",32,-115.8,1302,354.236377998255,702
"1338",32,-115.6,1338,367.921664911211,341
"1374",32,-115.4,1374,382.028560109384,254
"1410",32,-115.2,1410,396.512018317101,180
"1446",32,-115,1446,411.332213970644,180
"1482",32,-114.8,1482,426.453990349097,240
"1518",32,-114.6,1518,441.846332378429,285
"1554",32,-114.4,1554,457.481877480729,296
"1590",32,-114.2,1590,473.336471254149,275
"1626",32,-114,1626,489.38876984655,286
"7",32.2,-123,7,472.146780489231,600
"43",32.2,-122.8,43,455.806942693316,600
"79",32.2,-122.6,79,439.649899217016,600
"115",32.2,-122.4,115,423.696624886038,600
"151",32.2,-122.2,151,407.971086745256,600
"187",32.2,-122,187,392.500719499939,600
"223",32.2,-121.8,223,377.316971309031,600
"259",32.2,-121.6,259,362.455923518819,600
"295",32.2,-121.4,295,347.958983230994,600
"331",32.2,-121.2,331,333.873639385126,600
"367",32.2,-121,367,320.254259656889,600
"403",32.2,-120.8,403,307.162884899654,600
"439",32.2,-120.6,439,294.669947936904,600
"475",32.2,-120.4,475,282.854802683595,600
"511",32.2,-120.2,511,271.805898332353,600
"547",32.2,-120,547,261.620376749309,600
"583",32.2,-119.8,583,252.402822401245,600
"619",32.2,-119.6,619,244.262877593671,600
"655",32.2,-119.4,655,237.311487617721,600
"691",32.2,-119.2,691,231.65570001782,600
"727",32.2,-119,727,227.392230856571,600
"763",32.2,-118.8,763,224.600398975968,600
"799",32.2,-118.6,799,223.33541067823,600
"835",32.2,-118.4,835,223.623183175243,600
"871",32.2,-118.2,871,225.457769708152,600
"907",32.2,-118,907,228.801958592677,600
"943",32.2,-117.8,943,233.590910571843,600
"979",32.2,-117.6,979,239.738043630461,600
"1015",32.2,-117.4,1015,247.142011410041,600
"1051",32.2,-117.2,1051,255.693631210369,600
"1087",32.2,-117,1087,265.281909586689,600
"1123",32.2,-116.8,1123,275.798714781254,556
"1159",32.2,-116.6,1159,287.142004581646,600
"1195",32.2,-116.4,1195,299.217759100491,770
"1231",32.2,-116.2,1231,311.940883622359,478
"1267",32.2,-116,1267,325.235368455483,314
"1303",32.2,-115.8,1303,339.033960585993,649
"1339",32.2,-115.6,1339,353.277548040133,198
"1375",32.2,-115.4,1375,367.914402230494,452
"1411",32.2,-115.2,1411,382.899375893079,180
"1447",32.2,-115,1447,398.193117523654,180
"1483",32.2,-114.8,1483,413.761336995899,207
"1519",32.2,-114.6,1519,429.574139386171,241
"1555",32.2,-114.4,1555,445.605432780652,338
"1591",32.2,-114.2,1591,461.83240909772,237
"1627",32.2,-114,1627,478.235093234791,267
"8",32.4,-123,8,461.654565847362,600
"44",32.4,-122.8,44,444.967634259278,600
"80",32.4,-122.6,80,428.439700928963,600
"116",32.4,-122.4,116,412.089961901842,600
"152",32.4,-122.2,152,395.940556438585,600
"188",32.4,-122,188,380.017089037063,600
"224",32.4,-121.8,224,364.349246401746,600
"260",32.4,-121.6,260,348.97152222828,600
"296",32.4,-121.4,296,333.924060581402,600
"332",32.4,-121.2,332,319.253623128378,600
"368",32.4,-121,368,305.014674250156,600
"404",32.4,-120.8,404,291.270557743264,600
"440",32.4,-120.6,440,278.09470494461,600
"476",32.4,-120.4,476,265.571761342497,600
"512",32.4,-120.2,512,253.798442376562,600
"548",32.4,-120,548,242.883828586222,600
"584",32.4,-119.8,584,232.948695765378,600
"620",32.4,-119.6,620,224.123378389044,600
"656",32.4,-119.4,656,216.543646087334,600
"692",32.4,-119.2,692,210.344224775216,600
"728",32.4,-119,728,205.650006500545,600
"764",32.4,-118.8,764,202.565679891443,600
"800",32.4,-118.6,800,201.165320103205,600
"836",32.4,-118.4,836,201.484047206022,600
"872",32.4,-118.2,872,203.513783309898,600
"908",32.4,-118,908,207.204245002064,600
"944",32.4,-117.8,944,212.468899270378,600
"980",32.4,-117.6,980,219.194329095591,600
"1016",32.4,-117.4,1016,227.25085418591,600
"1052",32.4,-117.2,1052,236.502453261326,600
"1088",32.4,-117,1088,246.814742566737,419
"1124",32.4,-116.8,1124,258.060560055027,642
"1160",32.4,-116.6,1160,270.123297864355,438
"1196",32.4,-116.4,1196,282.898433901494,568
"1232",32.4,-116.2,1232,296.293790424758,387
"1268",32.4,-116,1268,310.228990491639,367
"1304",32.4,-115.8,1304,324.634474006541,401
"1340",32.4,-115.6,1340,339.450323500269,184
"1376",32.4,-115.4,1376,354.625057749168,403
"1412",32.4,-115.2,1412,370.114484105709,217
"1448",32.4,-115,1448,385.880655262256,197
"1484",32.4,-114.8,1484,401.890947902791,221
"1520",32.4,-114.6,1520,418.117264207748,200
"1556",32.4,-114.4,1556,434.535348384323,249
"1592",32.4,-114.2,1592,451.124206366037,296
"1628",32.4,-114,1628,467.865615589839,259
"9",32.6,-123,9,452.006002452714,600
"45",32.6,-122.8,45,434.988132214493,600
"81",32.6,-122.6,81,418.104639057623,600
"117",32.6,-122.4,117,401.372547224716,600
"153",32.6,-122.2,153,384.811672511966,600
"189",32.6,-122,189,368.445168624724,600
"225",32.6,-121.8,225,352.300190487445,600
"261",32.6,-121.6,261,336.408698084958,600
"297",32.6,-121.4,297,320.80842655629,600
