field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2
759,31.4,-118.8,759,312.9353026,600,3.562390089,,
795,31.4,-118.6,795,312.0206013,600,3.565529823,,
831,31.4,-118.4,831,312.2284681,600,3.565044642,,
867,31.4,-118.2,867,313.5566696,600,3.560943365,,
903,31.4,-118,903,315.9910743,600,3.553296089,,
939,31.4,-117.8,939,319.5063891,600,3.542230845,,
975,31.4,-117.6,975,324.0674281,600,3.527924299,,
1011,31.4,-117.4,1011,329.6307699,600,3.5105896,,
1047,31.4,-117.2,1047,336.1466334,600,3.490464926,,
1083,31.4,-117,1083,343.5608045,600,3.46780014,,
1119,31.4,-116.8,1119,351.8164696,600,3.442850828,,
1155,31.4,-116.6,1155,360.8558496,600,3.415869474,,
1191,31.4,-116.4,1191,370.621574,565,3.416010857,,
1227,31.4,-116.2,1227,381.0577691,597,3.359170914,,
1263,31.4,-116,1263,392.1108682,635,3.297937632,,
1299,31.4,-115.8,1299,403.7301688,722,3.203935385,,
1335,31.4,-115.6,1335,415.868175,566,3.286448956,,
1371,31.4,-115.4,1371,428.4807659,651,3.185335875,,
1407,31.4,-115.2,1407,441.5272293,532,3.246109009,,
1443,31.4,-115,1443,454.9701977,281,3.505112648,,
1479,31.4,-114.8,1479,468.7755148,600,3.116673946,,
1515,31.4,-114.6,1515,482.9120582,600,3.080265522,,
1551,31.4,-114.4,1551,497.3515363,600,3.043675423,,
1587,31.4,-114.2,1587,512.0682732,600,3.006937504,,
1623,31.4,-114,1623,527.0389931,600,,,
4,31.6,-123,4,508.1411066,600,,,
40,31.6,-122.8,40,492.8933799,600,,,
76,31.6,-122.6,76,477.8908766,600,3.106729507,,
112,31.6,-122.4,112,463.1574838,600,3.143944979,,
148,31.6,-122.2,148,448.7197661,600,3.180843592,,
184,31.6,-122,184,434.6072461,600,3.217335939,,
220,31.6,-121.8,220,420.8526932,600,3.25331831,,
256,31.6,-121.6,256,407.4924096,600,3.288669586,,
292,31.6,-121.4,292,394.5664987,600,3.323437452,,
328,31.6,-121.2,328,382.1190921,600,3.357288599,,
364,31.6,-121,364,370.1985073,600,3.390022755,,
400,31.6,-120.8,400,358.8572933,600,3.421433449,,
436,31.6,-120.6,436,348.1521172,600,3.451298714,,
472,31.6,-120.4,472,338.1434331,600,3.480751038,,
508,31.6,-120.2,508,328.8948701,600,3.509564877,,
544,31.6,-120,544,320.4722791,600,3.536235809,,
580,31.6,-119.8,580,312.9423896,600,3.560455561,,
616,31.6,-119.6,616,306.3710584,600,3.581907988,,
652,31.6,-119.4,652,300.8211345,600,3.600281477,,
688,31.6,-119.2,688,296.3500294,600,3.61528182,,
724,31.6,-119,724,293.0071499,600,3.626648426,,
760,31.6,-118.8,760,290.8314152,600,3.63416934,,
