field_1,lat,lon,grid_id,EpiDist,VS30,mmimean,thresh1,thresh2
875,33,-118.2,875,138.1275482,600,4.339045525,,
911,33,-118,911,143.4737346,600,4.289707661,,
947,33,-117.8,947,150.9278333,600,4.238665581,,
983,33,-117.6,983,160.195838,600,4.18362093,,
1019,33,-117.4,1019,170.9830068,600,4.052891254,,
1055,33,-117.2,1055,183.0208837,316,4.438337803,,
1091,33,-117,1091,196.0792094,669,4.033123016,,
1127,33,-116.8,1127,209.9676347,605,3.748565435,,
1163,33,-116.6,1163,224.5321282,710,3.529225349,,
1199,33,-116.4,1199,239.6494097,548,3.639005899,,
1235,33,-116.2,1235,255.2212186,433,3.859978437,,
1271,33,-116,1271,271.1692099,689,3.730053902,,
1307,33,-115.8,1307,287.4307186,442,4.093780041,,
1343,33,-115.6,1343,303.9553741,228,4.196117878,,
1379,33,-115.4,1379,320.7024448,229,3.905040979,,
1415,33,-115.2,1415,337.6387788,249,3.815124989,,
1451,33,-115,1451,354.7372101,422,3.549705505,,
1487,33,-114.8,1487,371.9753269,399,3.433805943,,
1523,33,-114.6,1523,389.3345153,345,3.381339073,,
1559,33,-114.4,1559,406.7992156,318,3.430182934,,
1595,33,-114.2,1595,424.3563394,358,3.394888163,,
1631,33,-114,1631,441.9948112,694,,,
12,33.2,-123,12,428.6684226,600,,,
48,33.2,-122.8,48,410.8096459,600,,,
84,33.2,-122.6,84,393.0131904,600,3.346398115,,
120,33.2,-122.4,120,375.2879939,600,3.397107601,,
156,33.2,-122.2,156,357.6447229,600,3.44878912,,
192,33.2,-122,192,340.0961994,600,3.501502037,,
228,33.2,-121.8,228,322.6579543,600,3.555306196,,
264,33.2,-121.6,264,305.3489531,600,3.610259771,,
300,33.2,-121.4,300,288.1925548,600,3.666413307,,
336,33.2,-121.2,336,271.2177912,600,3.723803043,,
372,33.2,-121,372,254.4610847,600,3.782434702,,
408,33.2,-120.8,408,237.9685732,600,3.842260361,,
444,33.2,-120.6,444,221.7992682,600,3.903138399,,
480,33.2,-120.4,480,206.0293479,600,3.964782476,,
516,33.2,-120.2,516,190.7579555,600,4.026705742,,
552,33.2,-120,552,176.1148895,600,4.088181019,,
588,33.2,-119.8,588,162.2703994,600,4.148240089,,
624,33.2,-119.6,624,149.4466453,600,4.205711365,,
660,33.2,-119.4,660,137.9286815,600,4.260009289,,
696,33.2,-119.2,696,128.0693525,600,4.318324566,,
732,33.2,-119,732,120.2772766,600,4.377273083,,
768,33.2,-118.8,768,114.9735669,600,4.437834263,,
804,33.2,-118.6,804,112.5106982,600,4.515689373,,
840,33.2,-118.4,840,113.074461,600,4.639953613,,
876,33.2,-118.2,876,116.6209679,600,4.572045803,,
912,33.2,-118,912,122.8922432,600,4.44073534,,
948,33.2,-117.8,948,131.4990036,600,4.379089356,,
984,33.2,-117.6,984,142.0172365,600,4.362451077,,
1020,33.2,-117.4,1020,154.0558834,600,4.754598141,,
1056,33.2,-117.2,1056,167.2869802,708,4.682250023,,
1092,33.2,-117,1092,181.4498145,649,4.252472878,,
1128,33.2,-116.8,1128,196.3428148,710,3.898168087,,
1164,33.2,-116.6,1164,211.8119683,685,3.697673082,,
1200,33.2,-116.4,1200,227.7398481,709,3.653571844,,
1236,33.2,-116.2,1236,244.0365958,511,3.832623005,,
1272,33.2,-116,1272,260.6329722,465,3.955067873,,
1308,33.2,-115.8,1308,277.4751613,600,3.915449143,,
1344,33.2,-115.6,1344,294.5209381,248,4.467284679,,
1380,33.2,-115.4,1380,311.7368491,294,4.079720497,,
1416,33.2,-115.2,1416,329.0961353,710,3.420147657,,
1452,33.2,-115,1452,346.5771929,442,3.60813427,,
1488,33.2,-114.8,1488,364.1624252,480,3.365005016,,
1524,33.2,-114.6,1524,381.8373778,415,3.381263256,,
1560,33.2,-114.4,1560,399.5900832,361,3.435237646,,
1596,33.2,-114.2,1596,417.4105584,516,3.264681101,,
1632,33.2,-114,1632,435.2904173,302,,,
13,33.4,-123,13,422.9309259,600,,,
49,33.4,-122.8,49,404.8616946,600,,,
85,33.4,-122.6,85,386.8341867,600,3.365483046,,
121,33.4,-122.4,121,368.8545929,600,3.417505264,,
157,33.4,-122.2,157,350.9303511,600,3.470683098,,
193,33.4,-122,193,333.0704707,600,3.525112152,,
229,33.4,-121.8,229,315.2859629,600,3.580899,,
265,33.4,-121.6,265,297.5904141,600,3.638160229,,
301,33.4,-121.4,301,280.0007643,600,3.697022915,,
337,33.4,-121.2,337,262.5383724,600,3.757619381,,
373,33.4,-121,373,245.2304984,600,3.820075989,,
409,33.4,-120.8,409,228.1123896,600,3.884486198,,
445,33.4,-120.6,445,211.230259,600,3.95085454,,
481,33.4,-120.4,481,194.6455894,600,4.019009113,,
517,33.4,-120.2,517,178.4414109,600,4.088496685,,
553,33.4,-120,553,162.731497,600,4.158530235,,
589,33.4,-119.8,589,147.673744,600,4.228089333,,
625,33.4,-119.6,625,133.4890946,600,4.296174526,,
661,33.4,-119.4,661,120.4863741,600,4.361742973,,
697,33.4,-119.2,697,109.0890967,600,4.426048756,,
733,33.4,-119,733,99.84859653,600,4.498224258,,
769,33.4,-118.8,769,93.40721224,600,4.696913719,,
805,33.4,-118.6,805,90.36554049,600,4.825601578,,
841,33.4,-118.4,841,91.06489537,715,4.729985237,,
877,33.4,-118.2,877,95.42305593,600,4.693306923,,
913,33.4,-118,913,102.9765077,600,4.525753021,,
949,33.4,-117.8,949,113.0867549,600,4.503067017,,
985,33.4,-117.6,985,125.1355679,413,4.88645649,,
1021,33.4,-117.4,1021,138.6183211,520,4.554219723,,
1057,33.4,-117.2,1057,153.1567383,700,4.621213913,,
1093,33.4,-117,1093,168.4777048,705,4.147524357,,
1129,33.4,-116.8,1129,184.3862032,652,3.926178455,,
1165,33.4,-116.6,1165,200.7425466,692,3.790095568,,
1201,33.4,-116.4,1201,217.4456426,694,3.795690537,,
1237,33.4,-116.2,1237,234.421326,659,3.836104393,,
1273,33.4,-116,1273,251.6143731,600,3.995829105,,
1309,33.4,-115.8,1309,268.9830477,347,4.418762684,,
1345,33.4,-115.6,1345,286.4953501,352,4.303090572,,
1381,33.4,-115.4,1381,304.1264096,447,3.988730192,,
1417,33.4,-115.2,1417,321.8566494,437,3.804404497,,
1453,33.4,-115,1453,339.6704771,442,3.639844179,,
1489,33.4,-114.8,1489,357.5553372,401,3.392243385,,
1525,33.4,-114.6,1525,375.5010176,304,3.469590426,,
1561,33.4,-114.4,1561,393.4991339,336,3.47153163,,
1597,33.4,-114.2,1597,411.5427432,316,3.50705123,,
1633,33.4,-114,1633,429.6260496,525,,,
14,33.6,-123,14,418.2907138,600,,,
50,33.6,-122.8,50,400.0551722,600,,,
86,33.6,-122.6,86,381.8440072,600,3.381216049,,
122,33.6,-122.4,122,363.6609556,600,3.434339047,,
158,33.6,-122.2,158,345.5105304,600,3.488781691,,
194,33.6,-122,194,327.3982325,600,3.544676542,,
230,33.6,-121.8,230,309.3308342,600,3.602178574,,
266,33.6,-121.6,266,291.3167646,600,3.661469936,,
302,33.6,-121.4,302,273.3666417,600,3.722765446,,
338,33.6,-121.2,338,255.4940191,600,3.786318064,,
374,33.6,-121,374,237.7164534,600,3.852417469,,
410,33.6,-120.8,410,220.0570592,600,3.921369553,,
446,33.6,-120.6,446,202.5468237,600,3.993415117,,
482,33.6,-120.4,482,185.2281287,600,4.068550587,,
518,33.6,-120.2,518,168.1602404,600,4.146257877,,
554,33.6,-120,554,151.4280656,600,4.22530508,,
590,33.6,-119.8,590,135.1564194,600,4.304020882,,
626,33.6,-119.6,626,119.5335941,600,4.381679535,,
662,33.6,-119.4,662,104.85009,600,4.46029377,,
698,33.6,-119.2,698,91.55901901,600,4.673532009,,
734,33.6,-119,734,80.35438874,600,4.843966007,,
770,33.6,-118.8,770,72.2140579,600,5.006995201,,
806,33.6,-118.6,806,68.24357682,600,5.08801508,,
842,33.6,-118.4,842,69.16485206,600,5.032816887,,
878,33.6,-118.2,878,74.79734373,600,4.84190321,,
914,33.6,-118,914,84.20083318,600,4.544907093,,
950,33.6,-117.8,950,96.27660218,466,5.077889442,,
986,33.6,-117.6,986,110.149198,430,5.029839993,,
1022,33.6,-117.4,1022,125.2228196,703,4.676859379,,
1058,33.6,-117.2,1058,141.1130639,643,4.59319973,,
1094,33.6,-117,1094,157.5730199,642,4.022243023,,
1130,33.6,-116.8,1130,174.4414379,662,3.928272009,,
1166,33.6,-116.6,1166,191.610416,453,4.145284176,,
1202,33.6,-116.4,1202,209.0058411,680,3.955495119,,
1238,33.6,-116.2,1238,226.575504,228,4.402990818,,
1274,33.6,-116,1274,244.2817528,461,4.281070709,,
1310,33.6,-115.8,1310,262.0968469,710,3.899469614,,
1346,33.6,-115.6,1346,279.99995,447,4.101210117,,
1382,33.6,-115.4,1382,297.9751374,710,3.632271528,,
1418,33.6,-115.2,1418,316.010046,352,3.845244885,,
1454,33.6,-115,1454,334.0949415,295,3.712975979,,
1490,33.6,-114.8,1490,352.2220611,311,3.607432365,,
1526,33.6,-114.6,1526,370.3851413,222,3.745677471,,
1562,33.6,-114.4,1562,388.5790755,493,3.270704508,,
1598,33.6,-114.2,1598,406.7996595,307,3.528207302,,
1634,33.6,-114,1634,425.0434012,900,,,
15,33.8,-123,15,414.7847285,600,,,
51,33.8,-122.8,51,396.4317182,600,,,
87,33.8,-122.6,87,378.0898524,600,3.393362284,,
123,33.8,-122.4,123,359.7609111,600,3.447330236,,
159,33.8,-122.2,159,341.4470512,600,3.502752543,,
195,33.8,-122,195,323.1509127,600,3.559796095,,
231,33.8,-121.8,231,304.8757622,600,3.618665218,,
267,33.8,-121.6,267,286.6256907,600,3.679612398,,
303,33.8,-121.4,303,268.4058907,600,3.742952824,,
339,33.8,-121.2,339,250.223052,600,3.809084892,,
375,33.8,-121,375,232.0859393,600,3.878519774,,
411,33.8,-120.8,411,214.0062569,600,3.951904535,,
447,33.8,-120.6,447,195.9999767,600,4.029947281,,
483,33.8,-120.4,483,178.0894435,600,4.113056183,,
519,33.8,-120.2,519,160.306833,600,4.200567722,,
555,33.8,-120,555,142.7000568,600,4.289848328,,
591,33.8,-119.8,591,125.3433156,600,4.376055718,,
627,33.8,-119.6,627,108.3569107,600,4.454119206,,
663,33.8,-119.4,663,91.94640471,600,4.691573143,,
699,33.8,-119.2,699,76.48348198,600,4.939789295,,
735,33.8,-119,735,62.67355947,600,5.169334412,,
771,33.8,-118.8,771,51.8546506,600,5.371680737,,
807,33.8,-118.6,807,46.17918292,600,5.586843967,,
843,33.8,-118.4,843,47.52697776,253,6.009242535,,
879,33.8,-118.2,879,55.38767325,228,5.803442001,,
915,33.8,-118,915,67.52374434,228,5.917595863,,
951,33.8,-117.8,951,82.05969191,464,5.096309185,,
987,33.8,-117.6,987,97.93261468,703,4.722220898,,
1023,33.8,-117.4,1023,114.5882067,615,4.67583704,,
1059,33.8,-117.2,1059,131.7298744,254,4.577004433,,
1095,33.8,-117,1095,149.1901104,278,5.263596058,,
1131,33.8,-116.8,1131,166.8688888,694,4.128915787,,
1167,33.8,-116.6,1167,184.7034099,699,3.846799374,,
1203,33.8,-116.4,1203,202.6525001,331,4.36880064,,
1239,33.8,-116.2,1239,220.6881466,368,4.339089394,,
1275,33.8,-116,1275,238.7906767,710,3.869821072,,
1311,33.8,-115.8,1311,256.9458927,361,4.132312775,,
1347,33.8,-115.6,1347,275.143303,455,3.987542152,,
1383,33.8,-115.4,1383,293.3749932,313,3.948758602,,
1419,33.8,-115.2,1419,311.6348833,253,3.84496522,,
1455,33.8,-115,1455,329.9182272,418,3.711516619,,
1491,33.8,-114.8,1491,348.2212664,400,3.623209953,,
1527,33.8,-114.6,1527,366.5409857,491,3.344229698,,
1563,33.8,-114.4,1563,384.8749384,485,3.357040405,,
1599,33.8,-114.2,1599,403.2211178,292,3.559716463,,
1635,33.8,-114,1635,421.5778621,349,,,
16,34,-123,16,412.4420113,600,,,
52,34,-122.8,52,394.0240938,600,,,
88,34,-122.6,88,375.6089128,600,3.401726484,,
124,34,-122.4,124,357.1969676,600,3.456244707,,
160,34,-122.2,160,338.7888623,600,3.512310982,,
196,34,-122,196,320.3853354,600,3.570122957,,
232,34,-121.8,232,301.9873011,600,3.629933357,,
268,34,-121.6,268,283.5959057,600,3.69207263,,
304,34,-121.4,304,265.2126083,600,3.756973743,,
340,34,-121.2,340,246.8392965,600,3.825206757,,
376,34,-121,376,228.4784582,600,3.897547722,,
412,34,-120.8,412,210.1334429,600,3.975156546,,
448,34,-120.6,448,191.8088711,600,4.05977726,,
484,34,-120.4,484,173.5113012,600,4.153256893,,
520,34,-120.2,520,155.2503634,428,4.47082901,,
556,34,-120,556,137.0407863,600,4.36131525,,
592,34,-119.8,592,118.9062544,710,4.380087853,,
628,34,-119.6,628,100.8873324,385,5.151199341,,
664,34,-119.4,664,83.05938691,600,4.888611317,,
700,34,-119.2,700,65.57845429,600,5.185289383,,
736,34,-119,736,48.81884402,600,5.680529594,,
772,34,-118.8,772,33.86896355,600,6.089702129,,
808,34,-118.6,808,24.33145873,600,6.39241457,,
844,34,-118.4,844,26.79591824,296,7.007376194,,
880,34,-118.2,880,39.0526601,293,6.793110848,,
916,34,-118,916,54.89338641,576,5.983436108,,
952,34,-117.8,952,71.98983514,412,5.742589474,,
988,34,-117.6,988,89.62622064,294,5.806192875,,
1024,34,-117.4,1024,107.5371663,336,5.482928276,,
1060,34,-117.2,1060,125.6052187,491,4.803603649,,
1096,34,-117,1096,143.7711021,696,3.89957428,,
1132,34,-116.8,1132,162.0018513,695,4.012756825,,
1168,34,-116.6,1168,180.2777294,431,4.465727329,,
1204,34,-116.4,1204,198.5862168,707,3.862098694,,
1240,34,-116.2,1240,216.9189955,418,4.226089001,,
1276,34,-116,1276,235.270325,710,3.914157629,,
1312,34,-115.8,1312,253.6361159,679,3.777924538,,
1348,34,-115.6,1348,272.0133759,467,3.84722805,,
1384,34,-115.4,1384,290.3998637,419,3.713014841,,
1420,34,-115.2,1420,308.7938669,454,3.802355528,,
1456,34,-115,1456,327.1940533,384,3.752153158,,
1492,34,-114.8,1492,345.5993703,248,3.685221434,,
1528,34,-114.6,1528,364.0089745,493,3.445841312,,
1564,34,-114.4,1564,382.4221812,194,3.752566576,,
1600,34,-114.2,1600,400.8384281,396,3.372947693,,
1636,34,-114,1636,419.2572486,300,,,
17,34.2,-123,17,411.2825576,600,,,
53,34.2,-122.8,53,392.8547753,600,,,
89,34.2,-122.6,89,374.426626,600,3.406163454,,
125,34.2,-122.4,125,355.9981293,600,3.460904121,,
161,34.2,-122.2,161,337.5693052,600,3.517232657,,
197,34.2,-122,197,319.1401742,600,3.575368166,,
233,34.2,-121.8,233,300.7107576,600,3.635609627,,
269,34.2,-121.6,269,282.2810773,600,3.698382616,,
305,34.2,-121.4,305,263.8511566,600,3.764287949,,
341,34.2,-121.2,341,245.4210204,600,3.834125042,,
377,34.2,-121,377,226.9906959,600,3.908879757,,
413,34.2,-120.8,413,208.5602136,600,3.990033627,,
449,34.2,-120.6,449,190.1296089,600,4.081098557,,
485,34.2,-120.4,485,171.6989248,600,4.188774109,,
521,34.2,-120.2,521,153.2682167,600,4.317682743,,
557,34.2,-120,557,134.83756,600,4.461279869,,
593,34.2,-119.8,593,116.4070672,600,4.589490414,,
629,34.2,-119.6,629,97.97692172,600,4.876847744,,
665,34.2,-119.4,665,79.54746062,600,5.170008183,,
701,34.2,-119.2,701,61.11940607,228,6.332936287,,
737,34.2,-119,737,42.69469633,414,6.678023815,,
773,34.2,-118.8,773,24.28109856,498,7.10666132,,
809,34.2,-118.6,809,5.982516635,294,8.298854828,,
845,34.2,-118.4,845,12.708088,294,7.652864456,,
881,34.2,-118.2,881,31.09157843,429,6.312026978,,
917,34.2,-118,917,49.51120733,666,5.871949673,,
953,34.2,-117.8,953,67.93754476,705,4.984534264,,
989,34.2,-117.6,989,86.36624877,707,4.64218235,,
1025,34.2,-117.4,1025,104.7960186,668,4.589686394,,
1061,34.2,-117.2,1061,123.226321,526,5.10889101,,
1097,34.2,-117,1097,141.6568909,672,4.525661469,,
1133,34.2,-116.8,1133,160.0875773,581,4.256669045,,
1169,34.2,-116.6,1169,178.518284,702,4.121109486,,
1205,34.2,-116.4,1205,196.9489443,447,4.360905647,,
1241,34.2,-116.2,1241,215.3795083,404,4.218476296,,
1277,34.2,-116,1277,233.8099361,294,4.332134724,,
1313,34.2,-115.8,1313,252.2401943,352,4.053958893,,
1349,34.2,-115.6,1349,270.6702537,352,3.929316044,,
1385,34.2,-115.4,1385,289.1000883,352,3.849555254,,
1421,34.2,-115.2,1421,307.5296737,461,3.53930974,,
1457,34.2,-115,1457,325.9589871,352,3.740398884,,
1493,34.2,-114.8,1493,344.388007,703,3.332417965,,
1529,34.2,-114.6,1529,362.8167123,399,3.599693298,,
1565,34.2,-114.4,1565,381.2450828,418,3.364685535,,
1601,34.2,-114.2,1601,399.6730986,484,3.209700108,,
1637,34.2,-114,1637,418.1007401,610,,,
18,34.4,-123,18,411.3164907,600,,,
54,34.4,-122.8,54,392.9349402,600,,,
90,34.4,-122.6,90,374.5554182,600,3.406587124,,
126,34.4,-122.4,126,356.1783155,600,3.461195707,,
162,34.4,-122.2,162,337.804104,600,3.51736021,,
198,34.4,-122,198,319.43336,600,3.575297117,,
234,34.4,-121.8,234,301.066796,600,3.635332346,,
270,34.4,-121.6,270,282.7053049,600,3.697998524,,
306,34.4,-121.4,306,264.3500221,600,3.764187813,,
342,34.4,-121.2,342,246.0024165,600,3.835243464,,
378,34.4,-121,378,227.6644239,600,3.912556887,,
414,34.4,-120.8,414,209.3386509,600,3.996144772,,
450,34.4,-120.6,450,191.0286955,600,4.086962223,,
486,34.4,-120.4,486,172.7396699,600,4.20819521,,
522,34.4,-120.2,522,154.4790912,600,4.383349419,,
558,34.4,-120,558,136.258482,600,4.631289482,,
594,34.4,-119.8,594,118.0964304,600,4.703244686,,
630,34.4,-119.6,630,100.024929,600,4.873817921,,
666,34.4,-119.4,666,82.10388421,464,5.078312397,,
702,34.4,-119.2,702,64.45900759,385,5.711871624,,
738,34.4,-119,738,47.39983123,420,6.469357491,,
774,34.4,-118.8,774,31.88096943,294,7.454474449,,
810,34.4,-118.6,810,21.53891954,511,8.422647476,,
846,34.4,-118.4,846,24.27617493,508,7.622343063,,
882,34.4,-118.2,882,37.31780498,622,5.956522465,,
918,34.4,-118,918,53.60764539,638,5.186181068,,
954,34.4,-117.8,954,70.94230165,725,4.750556946,,
990,34.4,-117.6,990,88.71133956,472,5.409849644,,
1026,34.4,-117.4,1026,106.6979076,383,5.592403889,,
1062,34.4,-117.2,1062,124.8079392,585,4.714443684,,
1098,34.4,-117,1098,142.994476,373,5.118605614,,
1134,34.4,-116.8,1134,161.2315727,371,4.611284256,,
1170,34.4,-116.6,1170,179.50376,294,4.476792336,,
1206,34.4,-116.4,1206,197.8012525,358,4.405971527,,
1242,34.4,-116.2,1242,216.1175611,364,4.262273789,,
1278,34.4,-116,1278,234.4482132,671,3.74320221,,
1314,34.4,-115.8,1314,252.7900252,709,3.521115065,,
1350,34.4,-115.6,1350,271.1406686,461,3.690914869,,
1386,34.4,-115.4,1386,289.4983996,294,3.804974794,,
1422,34.4,-115.2,1422,307.8618855,685,3.406573534,,
1458,34.4,-115,1458,326.2300894,348,3.735785723,,
1494,34.4,-114.8,1494,344.6021913,522,3.431264401,,
1530,34.4,-114.6,1530,362.9775336,405,3.620355368,,
1566,34.4,-114.4,1566,381.3555817,430,3.434094429,,
1602,34.4,-114.2,1602,399.7358961,391,3.439040184,,
1638,34.4,-114,1638,418.1181114,400,,,
19,34.6,-123,19,412.5436333,600,,,
55,34.6,-122.8,55,394.2639488,600,,,
91,34.6,-122.6,91,375.9940705,600,3.402977705,,
127,34.6,-122.4,127,357.7355773,600,3.457082748,,
163,34.6,-122.2,163,339.4903833,600,3.512614727,,
199,34.6,-122,199,321.2608313,600,3.569733143,,
235,34.6,-121.8,235,303.0498217,600,3.628702402,,
271,34.6,-121.6,271,284.8609884,600,3.690061808,,
307,34.6,-121.4,307,266.6989466,600,3.755016804,,
343,34.6,-121.2,343,248.5696478,600,3.826159477,,
379,34.6,-121,379,230.4808974,600,3.908092737,,
415,34.6,-120.8,415,212.4431327,600,4.003740788,,
451,34.6,-120.6,451,194.4706215,531,4.140338898,,
487,34.6,-120.4,487,176.5833699,385,4.391403198,,
523,34.6,-120.2,523,158.8102708,364,4.747634411,,
559,34.6,-120,559,141.1945206,514,4.711375713,,
595,34.6,-119.8,595,123.8033872,652,4.530542851,,
631,34.6,-119.6,631,106.7467945,500,4.918284893,,
667,34.6,-119.4,667,90.21477875,394,4.995297432,,
703,34.6,-119.2,703,74.55719866,428,5.304879665,,
739,34.6,-119,739,60.45739714,690,5.467386246,,
775,34.6,-118.8,775,49.27145933,707,6.007152081,,
811,34.6,-118.6,811,43.31881986,497,6.557441711,,
847,34.6,-118.4,847,44.73957265,569,5.815406799,,
883,34.6,-118.2,883,52.94340222,635,4.894831181,,
919,34.6,-118,919,65.42660368,294,5.437860489,,
955,34.6,-117.8,955,80.21554404,294,4.982392311,,
991,34.6,-117.6,991,96.2531795,294,5.207641125,,
1027,34.6,-117.4,1027,113.0090821,294,5.108067036,,
1063,34.6,-117.2,1063,130.2061983,296,5.084480763,,
1099,34.6,-117,1099,147.6904283,662,4.354858398,,
1135,34.6,-116.8,1135,165.3706725,353,4.558106422,,
1171,34.6,-116.6,1171,183.1901272,523,4.254493713,,
1207,34.6,-116.4,1207,201.1117315,415,4.260851383,,
1243,34.6,-116.2,1243,219.1103604,519,4.126188278,,
1279,34.6,-116,1279,237.1684165,352,3.990617991,,
1315,34.6,-115.8,1315,255.2732255,352,3.64190197,,
1351,34.6,-115.6,1351,273.4154366,352,3.557912111,,
1387,34.6,-115.4,1387,291.5880045,294,3.653318405,,
1423,34.6,-115.2,1423,309.7855224,670,3.429250479,,
1459,34.6,-115,1459,328.0037727,393,3.71428442,,
1495,34.6,-114.8,1495,346.2394173,357,3.662881851,,
1531,34.6,-114.6,1531,364.4897799,653,3.294399977,,
1567,34.6,-114.4,1567,382.752689,442,3.44822073,,
1603,34.6,-114.2,1603,401.0263642,739,3.173355103,,
1639,34.6,-114,1639,419.3093315,332,,,
20,34.8,-123,20,414.9535159,600,,,
56,34.8,-122.8,56,396.8293759,600,,,
92,34.8,-122.6,92,378.7277839,600,3.39538908,,
128,34.8,-122.4,128,360.6522114,600,3.448619366,,
164,34.8,-122.2,164,342.606853,600,3.503028631,,
200,34.8,-122,200,324.5968246,600,3.558618069,,
236,34.8,-121.8,236,306.6284281,600,3.615384817,,
272,34.8,-121.6,272,288.7095138,600,3.673456907,,
308,34.8,-121.4,308,270.84998,600,3.733564377,,
344,34.8,-121.2,344,253.0624762,600,3.798528433,,
380,34.8,-121,380,235.3634114,600,3.877916098,,
416,34.8,-120.8,416,217.7744274,600,4.005013943,,
452,34.8,-120.6,452,200.3246003,352,4.622406483,,
488,34.8,-120.4,488,183.0538081,479,4.129175186,,
524,34.8,-120.2,524,166.0180131,385,4.421365738,,
560,34.8,-120,560,149.2977589,502,4.334990025,,
596,34.8,-119.8,596,133.0121713,733,4.191806316,,
632,34.8,-119.6,632,117.3424446,468,4.559369564,,
668,34.8,-119.4,668,102.571297,445,4.845797062,,
704,34.8,-119.2,704,89.14659505,622,5.038970947,,
740,34.8,-119,740,77.7688413,469,5.510143757,,
776,34.8,-118.8,776,69.45149534,711,4.992213726,,
812,34.8,-118.6,812,65.37333387,294,6.043566704,,
848,34.8,-118.4,848,66.32105664,285,5.632109642,,
884,34.8,-118.2,884,72.09673389,439,5.384104729,,
920,34.8,-118,920,81.68255079,232,5.481211662,,
956,34.8,-117.8,956,93.91899163,710,4.372932434,,
992,34.8,-117.6,992,107.9080363,710,4.380420685,,
1028,34.8,-117.4,1028,123.0533623,447,5.059948444,,
1064,34.8,-117.2,1064,138.9774095,437,4.583877564,,
1100,34.8,-117,1100,155.4409826,424,4.366942406,,
1136,34.8,-116.8,1136,172.2894287,707,4.104522228,,
1172,34.8,-116.6,1172,189.420018,275,4.571326733,,
1208,34.8,-116.4,1208,206.7625759,322,4.286114216,,
1244,34.8,-116.2,1244,224.2678734,398,4.065224171,,
1280,34.8,-116,1280,241.9005219,519,3.681310415,,
1316,34.8,-115.8,1316,259.6345141,531,3.805950403,,
1352,34.8,-115.6,1352,277.4503552,571,3.700592041,,
1388,34.8,-115.4,1388,295.3331695,499,3.81674099,,
1424,34.8,-115.2,1424,313.271424,294,3.832447052,,
1460,34.8,-115,1460,331.2560476,355,3.739551544,,
1496,34.8,-114.8,1496,349.2798128,499,3.44463706,,
1532,34.8,-114.6,1532,367.3368927,385,3.403189898,,
1568,34.8,-114.4,1568,385.4225391,376,3.50410986,,
1604,34.8,-114.2,1604,403.5328451,410,3.462214708,,
1640,34.8,-114,1640,421.6645669,410,,,
21,35,-123,21,418.5258246,600,,,
57,35,-122.8,57,400.60759,600,,,
93,35,-122.6,93,382.7289358,600,3.383952856,,
129,35,-122.4,129,364.8957556,600,3.435969114,,
165,35,-122.2,165,347.1151337,600,3.488796234,,
201,35,-122,201,329.3956572,600,3.542153597,,
237,35,-121.8,237,311.7478281,600,3.595489264,,
273,35,-121.6,273,294.1846168,600,3.647864103,,
309,35,-121.4,309,276.7222109,600,3.697844029,,
345,35,-121.2,345,259.3810466,600,3.743400335,,
381,35,-121,381,242.1872444,600,3.784232378,,
417,35,-120.8,417,225.1746387,600,3.845019102,,
453,35,-120.6,453,208.3876876,352,4.501117706,,
489,35,-120.4,489,191.8856984,494,3.565508604,,
525,35,-120.2,525,175.749033,732,3.80578661,,
561,35,-120,561,160.0882747,468,4.177490711,,
597,35,-119.8,597,145.0577169,353,4.563015938,,
633,35,-119.6,633,130.8747388,459,4.27963829,,
669,35,-119.4,669,117.8458278,359,4.804622173,,
705,35,-119.2,705,106.3958627,436,4.959068775,,
741,35,-119,741,97.08516238,505,4.926527023,,
777,35,-118.8,777,90.57590211,430,5.295935154,,
813,35,-118.6,813,87.49560141,703,4.844110489,,
849,35,-118.4,849,88.20424921,547,4.614051342,,
885,35,-118.2,885,92.61490967,295,4.946894169,,
921,35,-118,921,100.2400762,700,4.389425755,,
957,35,-117.8,957,110.4157504,228,5.488282204,,
993,35,-117.6,993,122.5079927,294,4.756231785,,
1029,35,-117.4,1029,136.0065175,422,4.664478779,,
1065,35,-117.2,1065,150.5334441,294,4.375132084,,
1101,35,-117,1101,165.8186566,355,4.315912247,,
1137,35,-116.8,1137,181.6708041,454,4.182404518,,
1173,35,-116.6,1173,197.9536782,319,4.319056034,,
1209,35,-116.4,1209,214.5691858,485,4.052442551,,
1245,35,-116.2,1245,231.4456404,341,4.11644268,,
1281,35,-116,1281,248.5298293,577,3.778680325,,
1317,35,-115.8,1317,265.7816358,352,3.809743404,,
1353,35,-115.6,1353,283.1703644,427,3.925717592,,
1389,35,-115.4,1389,300.6721977,516,3.619864941,,
1425,35,-115.2,1425,318.2684141,593,3.592725754,,
1461,35,-115,1461,335.9441191,411,3.712103367,,
1497,35,-114.8,1497,353.6873311,405,3.623795033,,
1533,35,-114.6,1533,371.4883127,290,3.740340471,,
1569,35,-114.4,1569,389.3390747,549,3.403028011,,
1605,35,-114.2,1605,407.2330052,306,3.617010593,,
1641,35,-114,1641,425.1645879,772,,,
22,35.2,-123,22,423.2312408,600,,,
58,35.2,-122.8,58,405.5648181,600,,,
94,35.2,-122.6,94,387.9584393,600,3.368880272,,
130,35.2,-122.4,130,370.4207412,600,3.419415236,,
166,35.2,-122.2,166,352.9620361,600,3.470319748,,
202,35.2,-122,202,335.5947269,600,3.520940065,,
238,35.2,-121.8,238,318.3338473,600,3.569948673,,
