,Unnamed: 0,lat,lon,grid_id,EpiDist,VS30,siteterm,MMI_st,MMI,dff
70,866,31.2,-118.2,866,335.6296638,600,-0.0794,2.737897509,2.817297509,0.0794
71,902,31.2,-118,902,337.9100114,600,-0.0794,2.725690708,2.805090708,0.0794
72,938,31.2,-117.8,938,341.2066886,600,-0.0794,2.708128121,2.787528121,0.0794
73,974,31.2,-117.6,974,345.4905918,600,-0.0794,2.685452967,2.764852967,0.0794
74,1010,31.2,-117.4,1010,350.7255326,600,-0.0794,2.657963594,2.737363594,0.0794
75,1046,31.2,-117.2,1046,356.8696429,600,-0.0794,2.625999372,2.705399372,0.0794
76,1082,31.2,-117,1082,363.8768499,600,-0.0794,2.589926274,2.669326274,0.0794
77,1118,31.2,-116.8,1118,371.6983198,600,-0.0794,2.550123273,2.629523273,0.0794
78,1154,31.2,-116.6,1154,380.283787,600,-0.0794,2.506970364,2.586370364,0.0794
79,1190,31.2,-116.4,1190,389.5827152,600,-0.0794,2.460838703,2.540238703,0.0794
80,1226,31.2,-116.2,1226,399.5452608,653,-0.105847,2.38563603,2.49148303,0.105847
81,1262,31.2,-116,1262,410.1230316,469,-0.014031,2.426405299,2.440436299,0.014031
82,1298,31.2,-115.8,1298,421.2696503,597,-0.077903,2.309503299,2.387406299,0.077903
83,1334,31.2,-115.6,1334,432.9411439,553,-0.055947,2.276726932,2.332673932,0.055947
84,1370,31.2,-115.4,1370,445.096184,273,0.083773,2.360265799,2.276492799,0.083773
85,1406,31.2,-115.2,1406,457.696206,383,0.028883,2.247972774,2.219089774,0.028883
86,1442,31.2,-115,1442,470.7054338,377,0.031877,2.192543247,2.160666247,0.031877
87,1478,31.2,-114.8,1478,484.0908338,600,-0.0794,2.021999817,2.101399817,0.0794
88,1514,31.2,-114.6,1514,497.8220175,600,-0.0794,1.962046217,2.041446217,0.0794
89,1550,31.2,-114.4,1550,511.8711114,600,-0.0794,1.901541345,1.980941345,0.0794
90,1586,31.2,-114.2,1586,526.2126048,600,-0.0794,1.840603292,1.920003292,0.0794
91,1622,31.2,-114,1622,540.8231876,600,-0.0794,1.779334285,1.858734285,0.0794
92,3,31.4,-123,3,521.4716055,600,-0.0794,1.860658583,1.940058583,0.0794
93,39,31.4,-122.8,39,506.5922896,600,-0.0794,1.924179179,2.003579179,0.0794
94,75,31.4,-122.6,75,491.9753025,600,-0.0794,1.987472885,2.066872885,0.0794
95,111,31.4,-122.4,111,477.6447833,600,-0.0794,2.050436745,2.129836745,0.0794
96,147,31.4,-122.2,147,463.6273502,600,-0.0794,2.112949919,2.192349919,0.0794
97,183,31.4,-122,183,449.9523175,600,-0.0794,2.174871156,2.254271156,0.0794
98,219,31.4,-121.8,219,436.6519076,600,-0.0794,2.236036095,2.315436095,0.0794
99,255,31.4,-121.6,255,423.7614461,600,-0.0794,2.296254453,2.375654453,0.0794
100,291,31.4,-121.4,291,411.3195257,600,-0.0794,2.355307232,2.434707232,0.0794
101,327,31.4,-121.2,327,399.3681166,600,-0.0794,2.412944111,2.492344111,0.0794
102,363,31.4,-121,363,387.952599,600,-0.0794,2.468881269,2.548281269,0.0794
103,399,31.4,-120.8,399,377.1216831,600,-0.0794,2.52279998,2.60219998,0.0794
104,435,31.4,-120.6,435,366.9271817,600,-0.0794,2.5743464,2.6537464,0.0794
105,471,31.4,-120.4,471,357.4235926,600,-0.0794,2.623133029,2.702533029,0.0794
106,507,31.4,-120.2,507,348.6674523,600,-0.0794,2.668742424,2.748142424,0.0794
107,543,31.4,-120,543,340.7164245,600,-0.0794,2.710733661,2.790133661,0.0794
108,579,31.4,-119.8,579,333.6281061,600,-0.0794,2.748651993,2.828051993,0.0794
109,615,31.4,-119.6,615,327.4585517,600,-0.0794,2.782041878,2.861441878,0.0794
110,651,31.4,-119.4,651,322.2605564,600,-0.0794,2.810463167,2.889863167,0.0794
111,687,31.4,-119.2,687,318.0817736,600,-0.0794,2.833509764,2.912909764,0.0794
112,723,31.4,-119,723,314.9627886,600,-0.0794,2.850829468,2.930229468,0.0794
113,759,31.4,-118.8,759,312.9353026,600,-0.0794,2.862143251,2.941543251,0.0794
114,795,31.4,-118.6,795,312.0206013,600,-0.0794,2.867261879,2.946661879,0.0794
115,831,31.4,-118.4,831,312.2284681,600,-0.0794,2.866097875,2.945497875,0.0794
116,867,31.4,-118.2,867,313.5566696,600,-0.0794,2.858671234,2.938071234,0.0794
117,903,31.4,-118,903,315.9910743,600,-0.0794,2.84510811,2.92450811,0.0794
118,939,31.4,-117.8,939,319.5063891,600,-0.0794,2.825632643,2.905032643,0.0794
119,975,31.4,-117.6,975,324.0674281,600,-0.0794,2.80055306,2.87995306,0.0794
120,1011,31.4,-117.4,1011,329.6307699,600,-0.0794,2.770243822,2.849643822,0.0794
121,1047,31.4,-117.2,1047,336.1466334,600,-0.0794,2.735125909,2.814525909,0.0794
122,1083,31.4,-117,1083,343.5608045,600,-0.0794,2.69564723,2.77504723,0.0794
123,1119,31.4,-116.8,1119,351.8164696,600,-0.0794,2.652264762,2.731664762,0.0794
124,1155,31.4,-116.6,1155,360.8558496,600,-0.0794,2.605429475,2.684829475,0.0794
125,1191,31.4,-116.4,1191,370.621574,565,-0.061935,2.573039555,2.634974555,0.061935
126,1227,31.4,-116.2,1227,381.0577691,597,-0.077903,2.504603961,2.582506961,0.077903
127,1263,31.4,-116,1263,392.1108682,635,-0.096865,2.43093704,2.52780204,0.096865
128,1299,31.4,-115.8,1299,403.7301688,722,-0.140278,2.330922715,2.471200715,0.140278
129,1335,31.4,-115.6,1335,415.868175,566,-0.062434,2.350574697,2.413008697,0.062434
130,1371,31.4,-115.4,1371,428.4807659,651,-0.104849,2.248648198,2.353497198,0.104849
131,1407,31.4,-115.2,1407,441.5272293,532,-0.045468,2.24743667,2.29290467,0.045468
132,1443,31.4,-115,1443,454.9701977,281,0.079781,2.311220164,2.231439164,0.079781
133,1479,31.4,-114.8,1479,468.7755148,600,-0.0794,2.089881044,2.169281044,0.0794
134,1515,31.4,-114.6,1515,482.9120582,600,-0.0794,2.027185797,2.106585797,0.0794
135,1551,31.4,-114.4,1551,497.3515363,600,-0.0794,1.964086814,2.043486814,0.0794
136,1587,31.4,-114.2,1587,512.0682732,600,-0.0794,1.900698037,1.980098037,0.0794
137,1623,31.4,-114,1623,527.0389931,600,-0.0794,1.837116399,1.916516399,0.0794
138,4,31.6,-123,4,508.1411066,600,-0.0794,1.917525334,1.996925334,0.0794
139,40,31.6,-122.8,40,492.8933799,600,-0.0794,1.983470433,2.062870433,0.0794
140,76,31.6,-122.6,76,477.8908766,600,-0.0794,2.049347579,2.128747579,0.0794
141,112,31.6,-122.4,112,463.1574838,600,-0.0794,2.11506186,2.19446186,0.0794
142,148,31.6,-122.2,148,448.7197661,600,-0.0794,2.180499497,2.259899497,0.0794
143,184,31.6,-122,184,434.6072461,600,-0.0794,2.24552473,2.32492473,0.0794
144,220,31.6,-121.8,220,420.8526932,600,-0.0794,2.309976369,2.389376369,0.0794
145,256,31.6,-121.6,256,407.4924096,600,-0.0794,2.373664043,2.453064043,0.0794
146,292,31.6,-121.4,292,394.5664987,600,-0.0794,2.436364248,2.515764248,0.0794
147,328,31.6,-121.2,328,382.1190921,600,-0.0794,2.497816357,2.577216357,0.0794
148,364,31.6,-121,364,370.1985073,600,-0.0794,2.557718868,2.637118868,0.0794
149,400,31.6,-120.8,400,358.8572933,600,-0.0794,2.615726281,2.695126281,0.0794
150,436,31.6,-120.6,436,348.1521172,600,-0.0794,2.671447137,2.750847137,0.0794
151,472,31.6,-120.4,472,338.1434331,600,-0.0794,2.724443909,2.803843909,0.0794
152,508,31.6,-120.2,508,328.8948701,600,-0.0794,2.774235593,2.853635593,0.0794
153,544,31.6,-120,544,320.4722791,600,-0.0794,2.820303857,2.899703857,0.0794
154,580,31.6,-119.8,580,312.9423896,600,-0.0794,2.862103628,2.941503628,0.0794
155,616,31.6,-119.6,616,306.3710584,600,-0.0794,2.89907865,2.97847865,0.0794
156,652,31.6,-119.4,652,300.8211345,600,-0.0794,2.930682113,3.010082113,0.0794
157,688,31.6,-119.2,688,296.3500294,600,-0.0794,2.9564016,3.0358016,0.0794
158,724,31.6,-119,724,293.0071499,600,-0.0794,2.975786719,3.055186719,0.0794
159,760,31.6,-118.8,760,290.8314152,600,-0.0794,2.988476777,3.067876777,0.0794
160,796,31.6,-118.6,796,289.8491175,600,-0.0794,2.994225236,3.073625236,0.0794
161,832,31.6,-118.4,832,290.072385,600,-0.0794,2.992917609,3.072317609,0.0794
162,868,31.6,-118.2,868,291.4984467,600,-0.0794,2.984580095,3.063980095,0.0794
163,904,31.6,-118,904,294.109802,600,-0.0794,2.969377584,3.048777584,0.0794
164,940,31.6,-117.8,940,297.8752703,600,-0.0794,2.947601356,3.027001356,0.0794
165,976,31.6,-117.6,976,302.7517786,600,-0.0794,2.91964839,2.99904839,0.0794
166,1012,31.6,-117.4,1012,308.6866591,600,-0.0794,2.885995316,2.965395316,0.0794
167,1048,31.6,-117.2,1048,315.6201922,600,-0.0794,2.847170401,2.926570401,0.0794
168,1084,31.6,-117,1084,323.488146,600,-0.0794,2.803726655,2.883126655,0.0794
169,1120,31.6,-116.8,1120,332.224111,600,-0.0794,2.756218336,2.835618336,0.0794
170,1156,31.6,-116.6,1156,341.7615004,900,-0.2291,2.555482164,2.784582164,0.2291
171,1192,31.6,-116.4,1192,352.0351504,601,-0.079899,2.650624641,2.730523641,0.079899
172,1228,31.6,-116.2,1228,362.982515,673,-0.115827,2.558081193,2.673908193,0.115827
173,1264,31.6,-116,1264,374.5444863,288,0.076288,2.69144444,2.61515644,0.076288
174,1300,31.6,-115.8,1300,386.665895,337,0.051837,2.606479709,2.554642709,0.051837
175,1336,31.6,-115.6,1336,399.2957545,900,-0.2291,2.263595916,2.492695916,0.2291
176,1372,31.6,-115.4,1372,412.3873082,717,-0.137783,2.291819033,2.429602033,0.137783
177,1408,31.6,-115.2,1408,425.8979376,412,0.014412,2.380019492,2.365607492,0.014412
178,1444,31.6,-115,1444,439.7889753,180,0.13018,2.431103074,2.300923074,0.13018
179,1480,31.6,-114.8,1480,454.0254586,600,-0.0794,2.156327897,2.235727897,0.0794
180,1516,31.6,-114.6,1516,468.5758533,600,-0.0794,2.09077332,2.17017332,0.0794
181,1552,31.6,-114.4,1552,483.4117646,600,-0.0794,2.024986585,2.104386585,0.0794
182,1588,31.6,-114.2,1588,498.5076506,242,0.099242,2.137716149,2.038474149,0.099242
183,1624,31.6,-114,1624,513.8405468,240,0.10024,2.072764656,1.972524656,0.10024
184,5,31.8,-123,5,495.4431323,600,-0.0794,1.972373822,2.051773822,0.0794
185,41,31.8,-122.8,41,479.8269534,600,-0.0794,2.04078864,2.12018864,0.0794
186,77,31.8,-122.6,77,464.4369518,600,-0.0794,2.109313502,2.188713502,0.0794
187,113,31.8,-122.4,113,449.2964288,600,-0.0794,2.177865222,2.257265222,0.0794
188,149,31.8,-122.2,149,434.4315271,600,-0.0794,2.246341279,2.325741279,0.0794
189,185,31.8,-122,185,419.8715779,600,-0.0794,2.314616119,2.394016119,0.0794
190,221,31.8,-121.8,221,405.6494753,600,-0.0794,2.382536914,2.461936914,0.0794
191,257,31.8,-121.6,257,391.8020658,600,-0.0794,2.449918753,2.529318753,0.0794
192,293,31.8,-121.4,293,378.370543,600,-0.0794,2.516539328,2.595939328,0.0794
193,329,31.8,-121.2,329,365.4008229,600,-0.0794,2.58213323,2.66153323,0.0794
194,365,31.8,-121,365,352.9438687,600,-0.0794,2.646386119,2.725786119,0.0794
