StationID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
TA.G03A,-0.20539340250246707,0.005761824359695042,-0.06007315027013765,0.07294648026880862,0.2163035612133142,0.25498403721816254,0.44162844364934256,0.7501036552372102,0.7209718338513496,1.0697144470346296,0.6082697906808345
TA.G04A,0.34616875565398714,-0.23862093955689154,0.398024802449683,0.5311800112706677,0.621388206078274,0.16653736948280182,0.6616163944387456,0.6157356382513368,0.6182443806956844,0.9519530194664895,0.9592264839973632
TA.G05A,0.16639888548155343,-0.07672918921805036,-0.2727559328465686,0.3879954845187462,0.12727897088897044,-0.23554768250692637,0.1290533163874329,0.04750722024870412,-0.10577172634245184,0.016303408917588264,0.23991910434417132
TA.G06A,-0.010669386493566968,-0.20367297673208384,-0.1788353577335306,0.038468720651110594,-0.11682526483725851,-0.05580792225642345,0.017526144658232105,-0.11690874947955722,-0.4255807334439135,-0.2022246896850357,-0.20783839424122738
TA.G07A,0.420477878654477,-0.26340720596004125,0.2875873140319645,0.4327287238521522,0.3044095719233243,0.22750887260622718,0.43896765740413224,0.1512064066791669,0.38354001925610753,-0.49350290466289953,-0.30130038818280885
TA.G08A,1.0606217196671783,0.9149775810561366,0.8237000868333322,1.0139008347078793,0.6724392662152586,0.9340467564767619,0.6764646632713072,0.16449166745991256,0.07602430577776759,-0.35220985699226665,-0.5942664854681868
TA.H02A,-0.22588803785897812,-0.4422562639972329,-0.5190428734813937,-0.14519921693607993,0.20756897005311994,0.09678870025702127,0.44722874163872917,0.4472424837622579,0.37081627944503803,0.2753869203080961,0.7336925424551609
TA.H03A,-0.8844195054966185,-0.9096234013826281,-0.7919791279105559,-0.8211222465920639,-0.49334113257543444,-0.6135313744790367,-0.8074492578201619,-0.8851584455137518,-0.858486794176633,-0.6795386035630572,-0.5264174566056099
TA.H04A,1.2045351686294388,0.5682618572811123,1.209251227200737,1.2492458730988167,1.2675204318532618,0.8419746205889632,0.3647822568652355,-0.030066935710335266,-0.19123044137987408,0.02992176584453035,-0.5934721210822439
TA.H05A,-0.7240924643312519,-0.9052594046756874,-0.4287550145610346,-0.816175222156895,-0.7220074594211487,-0.7334148558818075,-0.2887972110289103,-0.07860579619674965,-0.21232485972621157,-0.25138344098126264,-0.1795690063410867
TA.H06A,2.0868926534197207,0.5937285438825818,0.6722624777435299,0.4431362944854788,0.3462785748870155,-0.06214468933677187,-0.22181049663362257,0.2756034749782783,0.2436288807692897,0.6399303484512819,0.22101227119745276
TA.H07A,1.153277688219799,1.1066526503462972,1.168968397908822,1.1623160615699104,1.2213299573949803,1.1258696230195642,1.1706712514028752,0.883351826733445,0.7515110974991811,1.0427507935155398,0.5976742619623708
TA.I02A,1.3204890875871527,0.8103673369179788,0.6167953707739677,0.3684216212197228,0.8169680816287008,0.33664576962713305,0.21265320628608284,0.2708429976033296,-0.18815060993619956,-0.21094814195535394,
TA.I03A,0.2823936968991169,-0.23681769296177713,0.47002540207180105,0.42282600178228924,0.6290738145871847,0.09487235392575893,-0.32629248367137986,-0.17169652115670858,0.019062467690139737,0.517933618287148,
TA.I05A,-0.6893034232768976,-0.863302403242184,-0.6023325729860205,-0.1338311386345222,-0.0617701033716182,0.07777494237132852,0.2290447277552986,0.3634702451992057,0.20412485530845748,0.39893433177988924,0.21028186460266224
TA.I06A,-0.002063421569555068,0.4547507094524325,0.7487706923957037,0.8057380748893153,0.5120635087810439,0.18985907515043426,0.058221932065227626,0.24896933668088106,0.1550231074718568,-0.19118033777346888,-0.039707140429238286
TA.I07A,0.4064943496922223,0.2533740298959271,0.0322090197395944,0.19574198256784994,-0.3926353860686904,-0.17863167059660878,-0.5405066322551147,-0.5099795176884749,-0.3475017332686904,-0.8930705501952766,-0.31735362113438387
TA.J02A,0.3845072614366726,0.9951943558762294,1.1063017127883645,0.7763387845371866,0.4672390378869098,-0.320083527151144,-0.18065087923813383,-0.2790478381338034,-0.5971225342742281,-0.17263353780158888,
TA.J03A,2.4386860577948393,1.7229509737372612,1.1252471958114763,0.7535112736512282,0.27177264820077934,0.0411544125433526,-0.05978155469091437,-0.3050835348846913,-0.7005026555388121,-0.30116161726099927,
TA.J05A,-1.144075713293242,-1.3579313730203701,-0.4978899125640249,-0.6285897944562846,-0.5879253407122177,-0.5842907064586244,-0.714832926545617,0.00871319546779856,-0.034842119284765216,-0.0659310977970615,0.27087240816300145
UO.DBO,-0.6506933818442162,-0.5375750952528683,-0.016602918211521944,-0.32176526106315034,-0.17191615415437933,-0.38996566416861184,-0.21812148349814628,-0.28137170363843156,-0.15656803719854157,-0.22802485572599074,-0.2966779936081837
UO.EUO,0.7507258947741128,0.09285352494632,0.05513964509153067,0.10280470166265017,-0.22158317881306538,0.07993865181494948,-0.0983904517422709,-0.09752035142576619,0.2259040918192565,0.09940860317381094,-0.4218222027367082
UO.HUO,-0.8007878744556466,-1.3256242507855336,-1.3887481555097851,-1.4979517280794294,-1.2325426572886293,-1.217777225080104,-1.2022747615139604,-0.9076083047181595,-0.6150289266881968,-1.184857077910701,-0.6973809120682553
UO.PIN,1.537924844959212,0.29414835798727895,0.38580493742721234,0.6926000284556869,0.7168448679945967,0.7809995014835696,0.5951969920348332,0.602595415315032,0.367834599827161,-0.1751265528270992,-0.4324895855387282
UO.RAIN,0.9615575186365887,0.034899159442826976,0.019961917873445617,0.10073886306754509,0.061272011644179204,1.2710809086459938,0.4701020679397718,-0.07069890112464938,-0.18820837493230064,-0.6379802779957549,-0.16672995458790124
UO.VERN,,,0.12094695692264536,-0.017170256055881284,-0.1275943282641295,0.09389108848897593,-0.04332515753219377,-0.31865650503961823,-0.730790198876371,,
US.BMO,,0.6316962060014387,0.49676118673514646,0.6876029645555125,0.050637956657604274,-0.1403723935561881,-0.6055907131895548,-0.4519226421476134,-0.8076741021834924,-0.3568409992524227,
US.HAWA,-0.5554456720925487,-0.4822340431896739,-0.1922932637435267,0.23359768658376853,-0.3295782749852615,-0.4230541882578456,-0.5078874458182068,-0.3718803136309003,-0.7482452213686368,-0.8129333830114819,-0.8297077420740203
