EarthquakeID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
us10006nlu,2.468629208238702,2.5785367639793737,2.6807651599305924,2.4789141814720135,2.476192565399213,2.2580796091523547,1.7837725914468554,1.2135321696419894,1.0787518417393305,0.6961928105653575,0.4844005580676078
us2000ag4k,0.24095517741380706,0.7482040943309856,0.7811398770759533,0.5512173430276643,0.4753463985371965,0.357791122994605,0.23765347523518293,0.07298952045970948,-0.04868096424349912,-0.23314261230612407,-0.09708543927043634
us60007f42,0.7486549429733063,1.069716190431948,0.9305519386599607,0.8432989121543271,0.7932383428357448,0.3459910727639993,0.11990294596943166,0.06676271378897228,0.08841272698921289,-0.11521892069822515,-0.14993541155363943
usp000acrj,0.7697982965017791,1.047267880077869,1.1366630869497927,0.9446804888366602,0.8598967641325702,0.8755225768886337,0.6789866788125677,0.4774261546677545,0.33878890496660485,-0.12151457681197618,0.05431200209321765
uw10496228,1.6961341024094658,1.808401021616348,2.053856004633854,1.578828495172042,1.6090824597892763,1.3188853952920199,1.1307316102256542,0.5819971730595677,0.4795229540679131,0.20281747511565518,0.038529633375994334
uw10506078,0.26942822069366174,1.04967863584831,1.25772496129244,1.0956762798698962,1.359519993381259,1.4656359082857167,1.4292735073589264,1.1643175349337729,1.2090052183777402,1.1870970306141728,1.6289445583741697
uw10517388,1.266912336654817,1.4723973532787933,1.3886004218845873,1.4173431845385647,0.8968985685698699,0.5708677008368831,0.4151562045042782,-0.11214269716047,-0.19998540441019583,,
uw10524793,1.6697340815143367,1.9662420430565244,2.210505484588708,1.7345139838135775,1.5196331118661457,1.6548308572755825,1.217237460300996,0.5703754407397218,0.6793065967379858,0.4865972417346192,0.2908519199783471
uw10529683,-0.15329112822213647,0.32014854908709384,0.5630539102532764,0.6009073816102513,0.5771613636846811,0.1156824047323661,-0.16972320491741916,-0.28818016318827117,-0.3268342047867162,-0.40483229017688954,-0.18419583101480544
uw10530748,0.6496391076436212,1.138427961176961,1.4172188920678137,1.1462423529739094,1.2923052047827666,1.2944126229707646,1.1044501657170076,0.6894235742617797,0.5889190535793678,0.5640073646988722,0.7246679393715564
uw10542258,0.5495144895512277,0.7493811558249704,0.9119069530894058,0.5086523711234303,0.6184095313669208,0.34429123565015246,0.12994429494116155,-0.35287147386310097,-0.6034239120369067,-0.851908738462753,-0.7659165889499309
uw10562323,0.7077997530372501,1.1103792536425694,1.4396310319836714,1.2352995785059597,1.4195705049796004,1.2130079366944833,1.041189792538635,0.6142033098377172,0.5613944789894277,0.6059370365500523,0.6573197310041836
uw10569358,0.20927586342327775,0.530258935215109,0.14973371919118514,0.251533398046654,0.518077379306145,-0.0006542123291443041,0.04919326118668405,-0.18777156025935182,,,
uw10570363,0.8015998477283865,1.2349160757554467,1.6391944548903923,1.5710233131605413,1.3982004470062939,1.2839573786068883,1.1792447680253169,0.5328684897426881,0.33208460095214526,0.26729159866452773,0.32360324855756195
