EarthquakeID,StationID,FAS_0p100_,FAS_0p150_,FAS_0p200_,FAS_0p250_,FAS_0p300_,FAS_0p400_,FAS_0p500_,FAS_0p750_,FAS_1p000_,FAS_1p500_,FAS_2p000_
uw10695763,TA.H03A,-0.269521177,-0.635209008,-0.389211647,-0.822973232,-0.649919805,-0.889519774,-1.015642524,-0.684042456,-0.948328918,0.038032325,-0.712466502
uw10695763,TA.H04A,2.526441176,1.566803674,2.174321101,2.053420912,1.452167091,1.293277584,0.480877251,0.915404094,-0.067827316,-0.344881542,-0.511192625
uw10695763,TA.H05A,-0.293288374,-0.749468266,-0.362206257,-1.343101149,-1.287050596,-1.496052101,-0.407168995,-0.016154339,-0.155712667,-0.499175676,0.060522435
uw10695763,TA.I02A,2.00387807,1.359173506,0.778706331,0.216962206,0.490167582,0.057319891,0.079923795,0.435655212,-0.117451006,-0.151904559,
uw10695763,TA.I03A,0.713613728,0.007941628,0.596712893,0.287042628,0.246202459,-0.262824258,-0.634797708,-0.162076729,0.175636292,0.879580757,
uw10695763,TA.I05A,-0.494123207,-0.553418766,-0.696831847,-0.143434047,-0.673495845,-0.091338481,0.131791263,0.60677972,0.561002421,1.016380251,0.351647312
uw10695763,TA.I06A,0.360057706,0.90030472,0.94235454,0.780286727,0.094274281,-0.137047638,-0.12487486,0.406110764,0.367942381,-0.123929926,0.265474277
uw10695763,TA.I07A,0.867860292,0.640458961,0.053824526,-0.005473227,-1.080402204,-0.624984477,-0.918877275,-0.618990843,-0.342841173,-1.117217846,-0.141330606
uw10695763,TA.J02A,0.84053221,1.597664463,1.385689782,0.742416345,0.036073423,-0.812287883,-0.441655452,-0.307074652,-0.695911003,-0.097683211,
uw10695763,TA.J03A,1.97739945,1.330165962,1.223218569,0.595284217,0.094916772,-0.093006212,-0.335840792,-0.05822237,-0.628967564,-0.279571185,
uw10695763,TA.J05A,-1.059366512,-1.438683849,-0.603493371,-1.067327405,-1.333970014,-1.162137689,-1.150059662,0.081600153,0.099392312,0.053317961,0.720532366
uw10695763,UO.DBO,-0.446134207,-0.380139731,-0.006701837,0.003985009,-0.45788526,-1.071715636,-0.534511952,-0.24657013,0.187219581,-0.128500669,
uw10695763,UO.EUO,1.295710846,0.689633014,0.513519098,0.594814686,0.043291967,0.283963386,0.5863069,0.445805154,0.668360835,0.550803088,
uw10695763,UO.HUO,0.054393145,-0.694559829,-0.882152754,-0.930631064,-1.089164992,-1.521303974,-1.273323541,-1.038352098,-0.640255234,-0.978199794,0.028569544
uw10695763,US.HAWA,-0.641867323,-0.501161164,-0.136126626,0.376132933,-1.103569294,-1.093812412,-1.007778535,-0.225297761,-0.363888223,0.03418723,-0.296503405
uw10695763,UW.ELW,,0.136601606,-0.205574553,-0.35680811,-1.109135815,-0.475125661,-0.181861896,-0.200276092,0.251641267,0.024453372,0.428012169
uw10695763,UW.FHE,,0.156027155,0.423981286,-0.6467368,-0.783301667,-1.163962264,-0.928637587,-0.948777573,-0.653859263,-0.953879925,-0.203991469
uw10695763,UW.OFR,,,-1.760972859,-2.24661521,-2.01771927,-1.975764191,-1.409832261,-0.845016044,-0.390049472,,
uw10695763,XC.OR009,1.751710797,1.948151103,1.536707682,0.987619001,0.928196451,0.551100355,0.783355207,0.854366266,1.439882653,0.118546331,0.07751736
uw10695763,XC.OR014,0.218608295,0.149486823,0.511043942,0.112905697,-0.152665105,-0.603396809,-0.17852951,-0.328707491,0.113208328,-0.53081636,-0.103685488
uw10695763,XC.OR034,0.504024478,1.095937279,1.288198776,0.017580787,0.235284936,-0.124890593,0.503141061,0.475490461,0.965474637,0.378818824,0.5091694
uw10695763,XC.OR133,1.020115167,1.17961976,1.84060499,1.460878097,0.744025224,1.032252446,1.607539413,0.851346784,0.493267903,0.06546362,-0.151417398
uw10695763,XU.BD11,1.015981699,0.742333789,-0.064019489,-0.454898817,-0.840132625,-0.738526004,-0.604388343,-0.105842982,0.243626753,-0.506534909,0.662713766
uw10695763,XU.E010,2.807417549,2.784701664,2.074329946,1.860394379,0.985914743,1.068288105,1.431284474,1.629508671,2.062122765,1.385032744,0.009763683
uw10695763,XU.E020,1.423069065,1.131252279,0.947962666,0.270323069,-0.11828257,0.064075992,0.652913053,1.366155607,2.032750407,0.948134778,1.366687232
uw10695763,XU.E050,2.296788823,1.604246691,-0.514302605,-0.926071069,-1.07657069,-0.92405518,-1.113216727,-0.80809444,-0.734955873,-0.357509504,-0.449533939
uw10695763,XU.E060,-0.903175324,-1.281343972,-0.942389797,-2.026870843,-1.944398426,-1.51745155,-0.742428518,-0.813977474,-0.574882041,-0.165981413,-0.385223239
uw10695763,XU.E070,-0.170106649,-0.222371964,-0.499085805,-0.840478616,-1.223229805,-0.892723965,-0.637695888,-0.358675955,-0.185797516,-0.374768233,0.347738197
uw10695763,XU.N015,,-0.412189828,-0.427807523,-0.778492398,-1.344704932,-0.298350273,-0.158233466,0.689674097,0.356799523,-0.064263565,
uw10695763,XU.N020,,-0.474662762,-1.594382146,-1.804597095,-1.792200706,-1.608975828,-1.183036256,-0.929016539,-1.195344006,-0.362155809,
uw10695763,XU.N040,-1.135506341,-0.970741792,-0.821109181,-1.092899349,-1.262718679,-0.443108367,-0.190631984,0.263734884,1.081363796,1.407231238,1.144302291
uw10695763,XU.N050,-0.897461686,-0.166675996,-0.860186016,-0.265824556,-0.866391771,-0.192551013,-0.171221124,0.424139707,0.216220257,0.707066905,1.288342711
